TaxID,Species_Name
3415,Liriodendron tulipifera
3429,Calycanthus floridus
3562,Spinacia oleracea
3694,Populus trichocarpa
3880,Medicago truncatula
4054,Panax ginseng
4232,Helianthus annuus
4403,Platanus occidentalis
4428,Ceratophyllum demersum
4460,Colocasia esculenta
4465,Acorus calamus
4472,Lemna minor
4511,Eleusine coracana
4513,Hordeum vulgare
4530,Oryza sativa
4547,Saccharum officinarum
4558,Sorghum bicolor
4565,Triticum aestivum
4577,Zea mays
4611,Cyperus alternifolius
4628,Canna indica
4641,Musa acuminata
4686,Asparagus officinalis
4692,Lilium superbum
4733,Typha latifolia
13333,Amborella trichopoda
13443,Coffea arabica
13529,Flagellaria indica
13579,Juncus effusus
28472,Epipactis helleborine
29712,Neottia ovata
29760,Vitis vinifera
34201,Lomandra longifolia
37622,Dendrobium secundum
38177,Cymbidium atropurpureum
38179,Dendrobium scabrilingue
38181,Arpophyllum giganteum
38183,Octomeria grandiflora
38185,Brassavola nodosa
38187,Restrepia muscifera
38189,Meiracyllium trinasutum
38191,Cypripedium acaule
38193,Maxillaria porrecta
38195,Thunia alba
38197,Polystachya concreta
38199,Vanda lamellata
38201,Bryobium hyacinthoides
38203,Chysis laevis
38205,Habenaria repens
38207,Calanthe vestita
38209,Bulbophyllum biflorum
38211,Spathoglottis plicata
38213,Tipularia discolor
38215,Spiranthes odorata
38217,Stanhopea frymirei
38219,Ceratostylis retisquama
38221,Coelogyne cristata
38223,Neuwiedia veratrifolia
38225,Sobralia powellii
38227,Zootrophion hirtzii
38231,Encyclia tampensis
38237,Cattleya guttata
38238,Cattleya tigrina
38684,Anomochloa marantoidea
38723,Joinvillea ascendens
38733,Streptochaeta angustifolia
39527,Hosta ventricosa
39542,Hesperaloe parviflora
40922,Anethum graveolens
41205,Bromheadia finlaysoniana
41776,Nandina domestica
45174,Vitekorchis excavata
48520,Aplectrum hyemale
48524,Oncidium sphacelatum
48526,Corallorhiza maculata
48534,Neottia nidus avis
48536,Cephalanthera austiniae
49657,Smilax china
49711,Cypripedium irapeanum
50232,Bulbophyllum macranthum
50283,Dendrobium crystallinum
50284,Dendrobium taurinum
50349,Dendrobium arachnoideum
50355,Dendrobium acutilingue
50357,Dendrobium fugax
50467,Dendrobium taylorii
50494,Pseuderia smithiana
51096,Dendrobium crumenatum
51239,Vanilla planifolia
53037,Oncidium ansiferum
53038,Cypripedium calceolus
53039,Cypripedium californicum
53040,Cypripedium fasciculatum
53041,Cypripedium flavum
53042,Cypripedium formosanum
53043,Cypripedium guttatum
53044,Cypripedium himalaicum
53045,Cypripedium lichiangense
53046,Cypripedium macranthos
53047,Cypripedium margaritaceum
