"Specie\Loci","381-ITS","1-Coelogyne sanderiana matK pseudogene complete sequence and trnK gene partial sequence; chloroplast genes for chloroplast products","2-Rhyncholaelia glauca isolate WEH-134 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer partial sequence; chloroplast","3-Oreorchis patens voucher Inoue2 atpB-rbcL intergenic spacer partial sequence; ribulose-15-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene complete cds; and rbcL-accD intergenic spacer partial sequence; chloroplast","4-Phaius flavus PsbA (psbA) gene partial cds; psbA-rps19 intergenic spacer complete sequence; ribosomal protein S19 (rps19) gene complete cds; and rps19-trnH intergenic spacer complete sequence; chloroplast","5-Maxillaria canarina voucher FLAS:Whitten 3256 hypothetical protein Ycf1 (ycf1) gene partial cds; chloroplast","6-Cattleya warneri isolate 42 RNA polymerase beta subunit (rpoC1) gene partial cds; chloroplast","7-Lockhartia acuta voucher Blanco 2567 FLAS hypothetical protein (ycf1) gene partial cds; chloroplast","8-Sobralia macrantha PsaB (psaB) gene partial cds; chloroplast","9-Pleione grandiflora trnL-trnF intergenic spacer chloroplast sequence","10-Cypripedium formosanum isolate S17 trnS-trnM intergenic spacer partial sequence; chloroplast","11-Cattleya harrisoniana isolate 16 RNA polymerase beta subunit (rpoB) gene partial cds; chloroplast","12-Encyclia nematocaulon voucher Bastos 323 (HUEFS) rpl32-trnL intergenic spacer partial sequence; chloroplast","13-Bulbophyllum histrionicum isolate FS1232 atpH-atpI intergenic spacer partial sequence; and ATP synthase (atpI) gene partial cds; chloroplast","14-Paphiopedilum vietnamense acetyl-CoA carboxylase beta subunit (accD) gene partial cds; chloroplast","15-Bletilla ochracea xanthine dehydrogenase (Xdh) gene partial cds",
"79439-Dendrochilum scriptum",AF076693.1,EF079347.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79443-Dendrochilum transversum",AF076694.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79441-Dendrochilum stachyodes",AF076695.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79415-Dendrochilum corrugatum",AF076696.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79411-Dendrochilum alpinum",AF076697.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79438-Dendrochilum pterogyne",AF076698.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79437-Dendrochilum planiscapum",AF076699.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79444-Dendrochilum trusmadiense",AF076700.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79426-Dendrochilum imbricatum",AF076701.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79424-Dendrochilum grandiflorum",AF076702.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79434-Dendrochilum muluense",AF076703.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79425-Dendrochilum haslamii",AF076704.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79428-Dendrochilum kamborangense",AF076705.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79417-Dendrochilum cupulatum",AF076707.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79410-Dendrochilum alatum",AF076708.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79432-Dendrochilum lancilabium",AF076709.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79427-Dendrochilum joclemensii",AF076710.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79423-Dendrochilum graminoides",AF076711.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79420-Dendrochilum exasperatum",AF076713.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"79416-Dendrochilum cruciforme",AF076714.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
